TOPIC-id,SDG,TOPIC,Keywords
SDG11010,11,Green Urban Planning,"Urbanization, Smart Cities, Urban Planning, Green infrastructure, Green belt, Greenway (landscape)","Green infrastructure, Green belt, Greenway","Green infrastructure, Green belt, Greenway (landscape)"
SDG11020,11,Affordable Housing,"Affordable Housing, Household income, Housing affordability index","Public housing,Housing inequality,Housing policy","Public housing,Housing inequality,Housing authority"
SDG11030,11,Sustainable Transport,"Sustainable transport, Cyclability, Environmental impact of shipping, Public Transport, Shared transport, Journey planner","Cyclability, Public Transport, Shared transport","Cyclability, Public Transport, Shared transport"
SDG11040,11,Resilient Infrastructure,"Sustainable urban infrastructure, Climate Resilient Infrastructure Development Facility, Critical infrastructure","Sustainable urban infrastructure, Climate Resilient Infrastructure, Infrastructure security","Sustainable urban infrastructure, Climate Resilient Infrastructure, Infrastructure security"
SDG11050,11,Smart Cities,"Smart city, Internet of things, Community-driven development, Community organization","Ecodistrict, Urban informatics, Zero-carbon city","Ecodistrict, Urban informatics, Zero-carbon city"
SDG11060,11,Waste Management,"Waste management, Biomedical waste, Sanitary engineering","Recycling, Landfarming, Sanitary engineering","Recycling, Landfarming, Sanitary engineering"
SDG11070,11,Air Quality,"Air pollution, Air quality index, Air Pollution Index","Air pollution, Particulate matter,Emission standard","Air pollution, Particulate matter,Emission standard"
SDG11080,11,Sustainable Communities,"Sustainable community, Sustainable living, Sustainable Communities Plan, Green affordable housing,Urban resilience,Participatory planning,Environmental gentrification","Urban resilience,Participatory planning,Environmental gentrification","Urban resilience,Participatory planning,Environmental gentrification"
SDG11090,11,Disaster Preparedness,"Flood management, Emergency management, Flood risk assessment,Early warning system,Disaster response","Early warning system, Emergency management,Disaster response","Early warning system, Emergency management,Disaster response"
SDG11100,11,Sustainable Cities,"Sustainable city, Smart city, Eco-cities","Sustainable urbanism,Green infrastructure, Walkability","Sustainable urbanism,Green infrastructure, Walkability"
SDG12000,12,SDG 12,"Food loss and waste, Waste minimisation, Recycling, Reuse, Recycling bin, Materials recovery facility, Production Patterns, Responsible Business, Sustainable consumption, Anti-consumerism, Collaborative consumption, Overconsumption (economics), Circular Economy, Circular procurement, Durable good, Sustainable products, Resource efficiency, Ecological efficiency, Efficient energy use, Consumer behaviour, Advertising management, Predictive buying, Supply chain, Logistics, Supply chain management, Supply chain attack, Ecological design, European Ecodesign Directive, Eco-innovation, Environmental design, Environmental impact assessment, Environmental issues, Strategic environmental assessment, Sustainable Development Goal 12",,
SDG12010,12,Waste Reduction,"Food loss and waste, Waste minimisation,Source reduction,Zero waste","Precycling,Source reduction,Zero waste","Precycling,Source reduction,Zero waste"
SDG12020,12,Recycling,"Recycling, Reuse, Recycling bin, Materials recovery facility,E-waste recycling,Appliance recycling","E-waste recycling,Appliance recycling,Materials recovery facility","Electronic waste recycling,Appliance recycling,Materials recovery facility"
SDG12030,12,Sustainable Production,"Production Patterns, Responsible Business","Green manfactoring,Production Patterns, Responsible Business","Green factory,Production Patterns, Responsible Business"
SDG12040,12,Sustainable Consumption,"Sustainable consumption, Anti-consumerism, Collaborative consumption, Overconsumption (economics)","Anti-consumerism, Collaborative consumption, Overconsumption","Anti-consumerism, Collaborative consumption, Overconsumption (economics)"
SDG12050,12,Circular Economy,"Circular Economy, Circular procurement, Durable good, Sustainable products","Circular procurement,Sustainable product,Product stewardship","Circular procurement,Sustainable products,Product stewardship"
SDG12060,12,Resource Efficiency,"Resource efficiency, Ecological efficiency, Efficient energy use,Industrial ecology","Ecological efficiency,Industrial ecology,Environmental design","Ecological efficiency,Industrial ecology,Environmental design"
SDG12070,12,Consumer Awareness,"Consumer behaviour, Advertising management, Predictive buying","Consumer behaviour, Advertising management, Predictive buying","Consumer behaviour, Advertising management, Predictive buying"
SDG12080,12,Supply Chains,"Supply chain, Logistics, Supply chain management, Supply chain attack","Supply chain sustainability,Supply chain management, Supply chain attack","Supply chain sustainability,Supply chain management, Supply chain attack"
SDG12090,12,Eco-friendly Products,"Ecological design, European Ecodesign Directive, Eco-innovation, Environmental design,Ecomodernism","Ecological design,Eco-innovation,Ecomodernism","Ecological design,Eco-innovation,Ecomodernism"
SDG12100,12,Life cycle assessment,"Environmental impact assessment, Life cycle assessment, Strategic environmental assessment,True cost accounting","End-of-life product,True cost accounting, Strategic environmental assessment","End-of-life product,True cost accounting, Strategic environmental assessment"
SDG13000,13,SDG 13,"Climate Change, Climate variability and change, United Nations Framework Convention on Climate Change, Carbon Footprint, Greenhouse gas emissions, Carbon dioxide in Earth's atmosphere, Climate justice, Environmental justice, Environmental degradation, Climate change adaptation, Effects of climate change, Environmental issues, Renewable Energy, Climate change mitigation, Climate resilience, Environmental protection, Ecological resilience, Global warming, Global surface temperature, Temperature anomaly, Climate risk, Effects of climate change, Climate crisis, Climate movement, Climate action, European Green Deal, Paris Agreement, Conference of the parties, Drought,  Disaster risk reduction, Flood, Extreme weather, Sustainable Development Goal 13",,
SDG13010,13,Climate Change,"Climate Change, Climate variability and change, United Nations Framework Convention on Climate Change,Polar amplification","Global warming,Weather extremes,Polar amplification","Climate Change,Extreme weather,Polar amplification"
SDG13020,13,Carbon Footprint,"Carbon Footprint, Greenhouse gas emissions, Carbon dioxide in Earth's atmosphere","Embedded emissions,Emission intensity, Greenhouse gas emissions","Embedded emissions,Emission intensity, Greenhouse gas emissions"
SDG13030,13,Climate Justice,"Climate justice, Environmental justice, Environmental degradation","Environmental crime, Environmental justice, Earth rights","Environmental crime, Environmental justice, Rights of nature"
SDG13040,13,Climate Change Mitigation,"Climate change adaptation, Effects of climate change, Environmental issues, Renewable Energy, Climate change mitigation","Afforestation,Climate change adaptation, Climate change scenario","Afforestation,Climate change adaptation, Climate change scenario"
SDG13050,13,Climate Change Resilience,"Climate resilience, Environmental protection, Ecological resilience,Climate change mitigation","Environmental protection,Ecological resilience,Climate action","Environmental protection,Ecological resilience,Climate action"
SDG13060,13,Global Warming,"Global warming, Global surface temperature, Temperature anomaly","Greenhouse effect,Global surface temperature, Temperature anomaly","Greenhouse effect,Global surface temperature, Temperature anomaly"
SDG13070,13,Climate Risk,"Climate risk, Effects of climate change,Climate change vulnerability","Climate change vulnerability,Effects of climate change,Sea level rise","Climate change vulnerability,Effects of climate change,Sea level rise"
SDG13080,13,Climate Crisis,"Climate crisis, Climate movement, Climate action","Climate emergency,Environmental disaster,Ecocide","Climate emergency declaration,Environmental disaster,Ecocide"
SDG13090,13,Climate Policy,"European Green Deal, Paris Agreement, Conference of the parties","Carbon pricing,Emissions trading,Climate finance","Carbon price,Emissions trading,Climate finance"
SDG13100,13,Natural Emergency,"Emergency management,Drought, Disaster risk reduction, Flood, Extreme weather","Emergency communication,Emergency Alert,Emergency Broadcast","Emergency communication system,Emergency Alert System,Emergency Broadcast System"
SDG14000,14,SDG 14,"Marine Life, Freshwater ecosystem, Marine ecosystem, Oceans, Marine conservation, Marine resources, Fishery, Aquaculture, Overfishing, Marine pollution, Invasive species, Plasticosis, Marine Biodiversity, Ocean AND Biodiversity, Marine habitat, Sustainable fishery, Population dynamics of fisheries, Sustainable yield in fisheries, Ocean acidification, Marine biogenic calcification, Estuarine acidification, Coral reef, Coral, Deep-water coral, Sponge reef, Marine resources, Marine energy, Human impact on marine life, Effects of climate change on oceans, Marine coastal ecosystem, Coastal management, Coastal erosion, Sustainable Development Goal 14",,
SDG14010,14,Marine Ecosystems,"Marine Life, Freshwater ecosystem, Marine ecosystem","Marine Life, Freshwater ecosystem,Marine habitat","Marine Life, Freshwater ecosystem,Marine habitat"
SDG14020,14,Ocean Conservation,"Oceans, Marine conservation, Marine resources,Marine protected area","Marine Legislation,Marine protected area, Marine resources","Law of the sea,Marine protected area, Marine resources"
SDG14030,14,Fisheries,"Fishery, Aquaculture, Overfishing","Fishery,Aquaculture, Overfishing","Fishery,Aquaculture, Overfishing"
SDG14040,14,Marine Pollution,"Marine pollution, Invasive species, Plasticosis,Oil spill","Oil spill,Invasive species, Plasticosis","Oil spill,Invasive species, Plasticosis"
SDG14050,14,Marine Biodiversity,"Marine Biodiversity, Ocean AND Biodiversity, Marine habitat","Marine food web,Kelp forest,Marine sediment","Marine food web,Kelp forest,Marine sediment"
SDG14060,14,Sustainable Fishing,"Sustainable fishery, Population dynamics of fisheries, Sustainable yield in fisheries","Bycatch reduction,Population dynamics, Marine stewardship","Bycatch,Population dynamics of fisheries,Marine stewardship Council"
SDG14070,14,Ocean Acidification,"Ocean acidification, Marine biogenic calcification, Estuarine acidification","Ocean deoxygenation,Estuarine acidification,Marine biogenic calcification","Ocean deoxygenation,Estuarine acidification,Marine biogenic calcification"
SDG14080,14,Coral Reefs,"Coral reef, Coral, Deep-water coral, Sponge reef","Coral reef conservation,Coral bleaching,Reef restoration","Coral reef conservation,Coral bleaching,Great Barrier Reef"
SDG14090,14,Marine Resources,"Marine resources, Marine energy, Human impact on marine life, Effects of climate change on oceans","Marine energy, Human impact, Effects of climate change","Marine energy, Human impact on marine life, Effects of climate change on oceans"
SDG14100,14,Coastal Protection,"Marine coastal ecosystem, Coastal management, Coastal erosion","Marine coastal ecosystem, Coastal management, Coastal erosion","Marine coastal ecosystem, Coastal management, Coastal erosion"
SDG15000,15,SDG 15,"Deforestation, Clearcutting, Defaunation, Biodiversity, Life, Ecosystem diversity, Land Degradation, Land management, Surface runoff, Forest management, Reforestation, Forest, Ecological restoration, Ecosystem service, Carbon sequestration, Wildlife conservation, Wildlife, Habitat destruction, Desertification, Land degradation, Biodiversity loss, Protected Areas, Nature reserve, Nature conservation, Sustainable Forestry, Forestry, Woodland, Soil health, Soil resilience, Soil fertility, Sustainable Development Goal 15",,
SDG15010,15,Deforestation,"Deforestation, Clearcutting, Defaunation","Forest transitionClearcutting, Defaunation","Forest transitionClearcutting, Defaunation"
SDG15020,15,Biodiversity conservation,"Biodiversity, Life, Ecosystem diversity","Endangered species,Protected area,Ecosystem diversity","Endangered species,Protected area,Ecosystem diversity"
SDG15030,15,Land Degradation,"Land Degradation, Land management, Surface runoff","Land reclamation,Land management, Surface runoff","Land reclamation,Land management, Surface runoff"
SDG15040,15,Reforestation,"Forest management, Reforestation, Forest","Forest restoration,Forest management,Revegetation","Forest restoration,Forest management,Revegetation"
SDG15050,15,Ecosystem Restoration,"Ecological restoration, Ecosystem service, Carbon sequestration","Habitat restoration,Ecosystem service, Carbon sequestration","Habitat restoration,Ecosystem service, Carbon sequestration"
SDG15060,15,Wildlife Conservation,"Wildlife conservation, Wildlife, Habitat destruction","Poaching, Wildlife corridor, Habitat destruction","Poaching, Wildlife corridor, Habitat destruction"
SDG15070,15,Desertification,"Desertification, Land degradation, Biodiversity loss","Aridification,Land degradation, Biodiversity loss","Aridification,Land degradation, Biodiversity loss"
SDG15080,15,Protected Areas,"Protected Areas, Nature reserve, Nature conservation, Forest reserve","Nature reserve, Nature conservation, Forest reserve","Nature reserve, Nature conservation, Forest reserve"
SDG15090,15,Sustainable Forestry,"Sustainable Forestry, Forestry, Woodland","Forest management,Forest certification,Agroforestry","Forest management,Certified wood,Agroforestry"
SDG15100,15,Soil Sustainability,"Soil health, Soil resilience, Soil fertility","Soil health, Soil resilience, Soil fertility","Soil health, Soil resilience, Soil fertility"
SDG16000,16,SDG 16,"Rule of Law, Legal certainty, Public interest law, Human Rights, Right to life, Freedom of speech, Right to education, Justice, Court, Social contract, Transparency (behavior), Openness, Open standard, Anti-Corruption, Regulatory compliance, Professional ethics, Bribery, Strong AND Institution, Cultural reproduction, Value (ethics), Accountability, Legal liability, Strict liability, Peace, Conflict Resolution, Freedom, Liberty, Autonomy, Social exclusion, Ostracism, Social rejection, Social vulnerability, Sustainable Development Goal 16",,
SDG16010,16,Rule of Law,"Rule of Law, Legal certainty, Public interest law","Legal certainty,Public interest,Consumer protection","Legal certainty, Public interest law,Consumer protection"
SDG16020,16,Human Rights,"Human Rights, Right to life, Freedom of speech, Right to education","Right to life, Freedom of speech, Right to education","Right to life, Freedom of speech, Right to education"
SDG16030,16,Access to Justice,"Justice, Court, Social contract","Legal aid,Judicial independence,Alternative dispute resolution","Legal aid,Judicial independence,Alternative dispute resolution"
SDG16040,16,Transparency,"Transparency (behavior), Openness, Open standard","Open government,Open standard,Freedom of information","Open government,Open standard,Freedom of information"
SDG16050,16,Anti-Corruption,"Anti-Corruption, Regulatory compliance, Professional ethics, Bribery","Regulatory compliance, Professional ethics, Bribery","Regulatory compliance, Professional ethics, Bribery"
SDG16060,16,Strong Institutions,"Strong AND Institution, Cultural reproduction, Value (ethics)","Adaptive capacity,Separation of powers,Ethical Value","Adaptive capacity,Separation of powers,Value (ethics)"
SDG16070,16,Accountability,"Accountability, Legal liability, Strict liability,Social accountability","Public accountability,Legal liability, Social accountability","Accountability,Legal liability, Social accountability"
SDG16080,16,Conflict Resolution,"Peace, Conflict Resolution","Mediation,Peace process,Reconciliation","Mediation,Peace process,Transitional justice"
SDG16090,16,Autonomy,"Freedom, Liberty, Autonomy","Political autonomy,Personal autonomy,Administrative autonomy","Political freedom,Autonomy,https://en.wikipedia.org/wiki/Autonomous_administrative_division"
SDG16100,16,Inclusivity,"Social exclusion, Ostracism, Social rejection, Social vulnerability","Social exclusion, Social rejection, Social vulnerability","Social exclusion, Social rejection, Social vulnerability"
SDG17000,17,SDG 17,"International cooperation, Translational cooperation, Multilateral agreements, International agreements, Multilingual, Multicultural, Knowledge sharing, Public–private partnership, Strategic partnership, Foreign Aid, Financial assistance (share purchase), Funding of science, Development Cooperation, Capacity Building, Community capacity building,Technology Transfer, Knowledge transfer, Transfer of learning, Stakeholder engagement, Stakeholder engagement software, Stakeholder management, Commercial policy, Common commercial policy, Common Commercial Policy (EU), Free trade agreement, Global Partnerships, International development, International Partnership for Human Rights, Policy coherence for development, Global governance, Resource mobilization, Mass mobilization, Social movement organization, Partnerships for Goals, Multilateralism, Multilateral treaty, Sustainable Development Goal 17",,
SDG17010,17,Global Cooperation,"International cooperation, Translational cooperation, Multilateral agreements, International agreements, Multilingual, Multicultural, Knowledge sharing, Public–private partnership, Strategic partnership","Global governance,International law,Global public good","Global governance,International law,Global public good"
SDG17020,17,Financial Aid,"Foreign Aid, Financial assistance (share purchase), Funding of science","Development aid,Financial assistance, Funding of science","Development aid,Financial assistance (share purchase), Funding of science"
SDG17030,17,Capacity Building,"Development Cooperation, Capacity Building, Community capacity building","Personal development,Professional Training,Scholarship","Personal development,Training,Scholarship"
SDG17040,17,Knowledge Transfer,"Technology Transfer, Knowledge transfer, Transfer of learning","Organizational learning,Technology Transfer,Knowledge Transfer Partnerships","Organizational learning,Technology Transfer,Knowledge Transfer Partnerships"
SDG17050,17,Stakeholder Engagement,"Stakeholder engagement, Stakeholder engagement software, Stakeholder management","Collaborative governance,Stakeholder engagement software, Stakeholder management","Collaborative governance,Stakeholder engagement software, Stakeholder management"
SDG17060,17,Trade Policies,"Commercial policy, Common commercial policy, Common Commercial Policy (EU), Free trade agreement","Trade barrier,Common commercial policy,Free trade agreement","Trade barrier,Common commercial policy,Free trade agreement"
SDG17070SDGt184,17,International Partnerships,"Global Partnerships, International development, International Partnership for Human Rights","Global Partnerships, International development, International Partnership for Human Rights","Global Partnerships, International development, International Partnership for Human Rights"
SDG17080,17,Policy Coherence,"Policy coherence for development, Global governance,International law","Intergovernmentalism,Global governance,International law","Intergovernmentalism,Global governance,International law"
SDG17090,17,Resource Mobilization,"Resource mobilization, Mass mobilization, Social movement organization","Social constructionism,Mass mobilization, Social movement organization","Social constructionism,Mass mobilization, Social movement organization"
SDG17100,17,Multilateral Agreements,"Partnerships for Goals, Multilateralism, Multilateral treaty","Partnerships for Goals, Cross-border cooperation, Multilateral treaty","Partnerships for Goals, Cross-border cooperation, Multilateral treaty"
